Arithmetic mean	Spectral clustering
Arithmetic mean	Level of measurement
Conditional probability	Decision tree model
Data analysis	Single-linkage clustering
Standard deviation	Hierarchical clustering
Machine learning	Decision tree learning
Maximum likelihood	Naive Bayes classifier
Machine learning	K-means clustering
Confidence interval	Data mining
Information retrieval	F1 score
Likelihood function	Expectation–maximization algorithm
Cluster analysis	Anomaly detection
Likelihood function	Maximum likelihood
Statistical population	F1 score
Statistical classification	Feedforward neural network
Joint probability distribution	Artificial neural network
Artificial neural network	Backpropagation
Conditional probability	Mixture model
Probability density function	Boosting (machine learning)
Standard deviation	Fuzzy clustering
Decision tree	Pruning (decision trees)
Machine learning	Random forest
Expectation–maximization algorithm	Bayesian network
Statistical population	Sampling (statistics)
Standard deviation	Cluster analysis
Maxima and minima	Gradient descent
Conditional probability distribution	Bayesian network
Confidence interval	F1 score
Statistical population	Student's t-test
Standard deviation	Naive Bayes classifier
Data analysis	Spectral clustering
Correlation and dependence	Single-linkage clustering
Null hypothesis	Data mining
Conditional probability	Bayesian network
Standard deviation	K-medoids
Standard deviation	Biclustering
Cluster analysis	Single-linkage clustering
Outlier	Anomaly detection
Probability density function	Mixture model
Confidence interval	Student's t-test
Mode (statistics)	Level of measurement
Correlation and dependence	Mixture model
Regression analysis	Least squares
Likelihood function	Poisson regression
Cluster analysis	Data mining
Statistical classification	Naive Bayes classifier
Joint probability distribution	Feedforward neural network
Probability density function	Backpropagation
Information retrieval	Precision and recall
Ensemble learning	Boosting (machine learning)
Probability density function	Feedforward neural network
Arithmetic mean	Single-linkage clustering
Probability density function	AdaBoost
Joint probability distribution	Machine learning
Null hypothesis	F1 score
Correlation and dependence	Spectral clustering
Probability density function	Bayesian network
Standard deviation	Statistical hypothesis testing
Standard deviation	K-means clustering
Statistical population	Type I and type II errors
Cluster analysis	Spectral clustering
Sample (statistics)	Statistical significance
Correlation and dependence	OPTICS algorithm
Arithmetic mean	Mixture model
Data analysis	DBSCAN
Statistical classification	Multiclass classification
Standard deviation	F1 score
Null hypothesis	Student's t-test
Prior probability	Bayesian network
Arithmetic mean	Stepwise regression
Outlier	Data mining
Machine learning	Multiclass classification
Confidence interval	Type I and type II errors
Statistical classification	Decision tree learning
Conditional probability	Decision tree
Machine learning	Pruning (decision trees)
Conditional probability distribution	Likelihood function
Decision tree	Decision tree model
Joint probability distribution	Naive Bayes classifier
Statistical classification	Sensitivity and specificity
Statistical classification	F1 score
Ensemble learning	AdaBoost
Arithmetic mean	OPTICS algorithm
Genetic algorithm	Mutation (genetic algorithm)
Statistical population	Confidence interval
Statistical hypothesis testing	Statistical significance
Conditional probability	Likelihood function
Arithmetic mean	Clustering high-dimensional data
Statistical classification	Random forest
Correlation and dependence	DBSCAN
Standard deviation	Anomaly detection
Dimensionality reduction	Principal component analysis
Data analysis	Mixture model
Null hypothesis	Precision and recall
Probability density function	Artificial neural network
Artificial neural network	Feedforward neural network
Median	Interquartile range
Decision tree learning	Random forest
Joint probability distribution	Multiclass classification
Quartile	Interquartile range
Conditional probability	Conditional probability distribution
Machine learning	Support vector machine
Null hypothesis	Type I and type II errors
Conditional probability	Random forest
Probability density function	Joint probability distribution
Standard deviation	Precision and recall
Joint probability distribution	Decision tree learning
Bayes' theorem	Bayesian network
Probability density function	Likelihood function
Joint probability distribution	K-means clustering
Arithmetic mean	Central tendency
Conditional probability distribution	Bayes' theorem
Arithmetic mean	DBSCAN
Conditional probability distribution	Posterior probability
Conditional independence	Bayesian network
Standard deviation	Correlation and dependence
Regression analysis	Linear regression
Standard deviation	Type I and type II errors
Conditional probability	Posterior probability
Data analysis	OPTICS algorithm
Standard deviation	Single-linkage clustering
