concept_a,concept_b,label
Network security,Algorithm,1
Software engineering,Algorithm,1
Information retrieval,Data structure,1
Computer vision,Algorithm,1
Distributed object,Object-oriented design,1
Information management,Artificial intelligence,1
Object-oriented programming,Data structure,1
Software engineering,Database,1
Information management,Information retrieval,1
Computer security,Computer network,1
Information management,Data mining,1
Algorithm,Discrete mathematics,1
Combinatorial optimization,Algorithm,1
System programming,Microarchitecture,1
Translator (computing),Discrete mathematics,1
Natural language processing,Algorithm,1
Parallel processing,Algorithm,1
Software quality management,Software engineering,1
Software engineering,Data structure,1
Distributed computing,Operating system,1
Programming language,Algorithm,1
System programming,Data structure,1
Software project management,Software engineering,1
Computer architecture,Microarchitecture,1
Software development,Software engineering,1
System programming,Assembly language,1
Mobile application development,System programming,1
Social network analysis,Algorithm,1
Algorithm design,Algorithm,1
Theory of computation,Algorithm,1
Artificial intelligence,Algorithm,1
Database,Algorithm,1
Computer security,Operating system,1
Parallel processing,Operating system,1
Computer-aided software engineering,Software engineering,1
Parallel computing,System programming,1
Data mining,Data structure,1
Distributed computing,Algorithm,1
Translator (computing),Algorithm,1
Computer graphics,Data structure,1
Wireless network,Assembly language,1
Compiler construction,Programming language,1
Test automation,Software engineering,1
Knowledge management,Artificial intelligence,1
Computer network,Operating system,1
Wireless network,Microarchitecture,1
Database,Data structure,1
Network service,Computer network,1
Object-oriented analysis and design,Software engineering,1
Data warehouse,Database,1
Data integration,Database,1
Cloud computing,Computer network,1
Software metric,Software engineering,1
Game theory,Theory of computation,1
Information retrieval,Algorithm,1
Software architecture,Software engineering,1
Computer architecture,Assembly language,1
Software analytics,Software engineering,1
Artificial intelligence,Data structure,1
Modeling language,Object-oriented programming,1
Algorithm,Data structure,1
Knowledge management,Information retrieval,1
Operating system,System programming,1
Object-oriented design,Data structure,1
Analysis of algorithms,Algorithm,1
Cloud computing,Operating system,1
Programming language,Translator (computing),1
Information security,Operating system,1
Translator (computing),Data structure,1
Object-oriented analysis and design,Object-oriented programming,1
Knowledge management,Database,1
Computer architecture,Operating system,1
System programming,Algorithm,1
Computer security,Information security,1
Graphical model,Artificial intelligence,1
Knowledge management,Data mining,1
Software testing,Software engineering,1
Mobile application development,Data structure,1
Modeling language,Software engineering,1
Software development,Object-oriented programming,1
Object-oriented analysis and design,Object-oriented design,1
Modeling language,Object-oriented design,1
Compiler construction,Translator (computing),1
Object-oriented design,Algorithm,1
Robotics,Algorithm,1
Data-intensive computing,Operating system,1
Information security,Database,1
Distributed object,Object-oriented programming,1
Mobile application development,Algorithm,1
Computational geometry,Algorithm,1
Broadband networks,Computer network,1
Internet protocol suite,Computer network,1
Wireless network,Computer network,1
Programming language,Discrete mathematics,1
Object-oriented programming,Algorithm,1
Distributed computing,System programming,1
Data mining,Algorithm,1
Game theory,Algorithm,1
Parallel computing,Operating system,1
Cryptography,Algorithm,1
Computational linguistics,Natural language processing,1
Software development,Object-oriented design,1
Machine learning,Algorithm,1
Information management,Database,1
Computer graphics,Algorithm,1
Object-oriented design,Object-oriented programming,1
Programming language,Data structure,1
Theory of computation,Object-oriented programming,0
Software project management,Translator (computing),0
Translator (computing),Data warehouse,0
Distributed computing,Compiler construction,0
Translator (computing),Parallel computing,0
Broadband networks,Test automation,0
Machine learning,Software analytics,0
Software engineering,Natural language processing,0
Computer security,Translator (computing),0
Distributed object,Algorithm,0
Algorithm design,Knowledge management,0
Software project management,Data-intensive computing,0
Algorithm design,Computer architecture,0
Algorithm,Robotics,0
Computer-aided software engineering,Computer network,0
Computational geometry,Information security,0
Discrete mathematics,Computer network,0
Algorithm design,Computer graphics,0
Distributed object,Knowledge management,0
Object-oriented analysis and design,Operating system,0
Computer network,Data integration,0
Software testing,Computer network,0
Algorithm design,Object-oriented analysis and design,0
Internet protocol suite,Network service,0
Compiler construction,Machine learning,0
Object-oriented analysis and design,Computer graphics,0
Parallel computing,Data integration,0
Knowledge management,Software development,0
Assembly language,Object-oriented analysis and design,0
Microarchitecture,Wireless network,0
Software metric,Discrete mathematics,0
Cryptography,Computational linguistics,0
Artificial intelligence,Distributed object,0
Data-intensive computing,Software metric,0
Modeling language,Data warehouse,0
Graphical model,Database,0
Cryptography,Information retrieval,0
Test automation,Data-intensive computing,0
Data integration,Software quality management,0
Discrete mathematics,Translator (computing),0
Software engineering,Microarchitecture,0
System programming,Parallel processing,0
Computer security,Network security,0
Algorithm,Compiler construction,0
Theory of computation,Software analytics,0
Computer security,Theory of computation,0
Software quality management,Computer graphics,0
Software development,Software quality management,0
Machine learning,Software quality management,0
Translator (computing),Mobile application development,0
Computational geometry,Computer architecture,0
Software project management,Modeling language,0
Knowledge management,Software engineering,0
Wireless network,Operating system,0
Computational geometry,Computational linguistics,0
Microarchitecture,Object-oriented programming,0
Computer security,Object-oriented programming,0
Translator (computing),Theory of computation,0
Distributed object,Software engineering,0
Analysis of algorithms,Software quality management,0
Database,Computer vision,0
Software project management,Cloud computing,0
Computer vision,Internet protocol suite,0
Distributed object,Software quality management,0
Algorithm design,Information management,0
Combinatorial optimization,Object-oriented analysis and design,0
Modeling language,Information management,0
Wireless network,Computational linguistics,0
Computer-aided software engineering,Graphical model,0
Microarchitecture,Computer security,0
Assembly language,Information management,0
Mobile application development,Combinatorial optimization,0
Cloud computing,Natural language processing,0
Parallel computing,Computer security,0
Cloud computing,Software analytics,0
Discrete mathematics,Software metric,0
Software analytics,Data-intensive computing,0
Software quality management,Social network analysis,0
Parallel processing,Computer security,0
Computer-aided software engineering,Software analytics,0
Wireless network,Computer-aided software engineering,0
Algorithm,Knowledge management,0
Information management,Software project management,0
Software metric,Data integration,0
Software testing,Theory of computation,0
Computational linguistics,Data warehouse,0
Translator (computing),Parallel processing,0
Artificial intelligence,Test automation,0
Software quality management,Programming language,0
Assembly language,Software analytics,0
Assembly language,Knowledge management,0
Algorithm design,Graphical model,0
Software development,Combinatorial optimization,0
Machine learning,Software project management,0
Software architecture,Discrete mathematics,0
Software architecture,Algorithm,0
Artificial intelligence,Software quality management,0
Theory of computation,Compiler construction,0
Machine learning,Information security,0
Data warehouse,Information retrieval,0
Computer architecture,Object-oriented design,0
Database,Software quality management,0
Robotics,Software architecture,0
Network security,Software project management,0
Internet protocol suite,Software metric,0
Knowledge management,Robotics,0
Broadband networks,Information management,0
Operating system,Artificial intelligence,0
Broadband networks,Microarchitecture,0
Wireless network,Test automation,0
Software architecture,System programming,0
Information management,Computer architecture,0
